id,name,phone,website,billingstreet,billingcity,billingstate,billingcountry
0017000000MyT0CAAV,George Washington Center,(801) 361-9914,,,,,USA
0017000000MyT0WAAV,San Diego State University,+1.619.594.7985,www.sdsu.edu,5500 Campanile Dr,San Diego,CA,USA
0017000000MyT0qAAF,The Courseware Company,+31 (0)30 2399 090,www.courseware.nl,St. Jacobsstraat 123511 BS UtrechtPostbus 3943500 AJ Utrecht,Utrecht,UT,The Netherlands
0017000000PD1WxAAL,SQS,+44 (0)20 7448 4620,www.sqs-uk.com,7-11 Moorgate,London,LONDON,UK
0017000000PD1ZCAA1,Intellego Systems,02089778744,www.intellego.co.uk,1 Orlando HouseHigh Street,Teddington,Middlesex,UK
0017000000QtTn0AAF,Intelladon,(813) 814-2345,www.Intelladon.com,609 W. De Leon Street,Tampa,FL,USA
0017000000T8ThBAAV,Chicago Police Department,(312) 746-8310 ext. 155,,"3510 S. Michigan Ave, Unit 127",Chicago,IL,USA
0017000000UIOe4AAH,SWERVE,(877) 779-3783,www.goswerve.com,,Seattle,WA,USA
0017000000UIOeJAAX,Discover,(623) 643-2156,www.discoverfinancial.com,5064 S 950 E,South Ogden,AZ,USA
0017000000VHlaAAAT,Teradata,(866) 548-8348,www.teradata.com,10000 Innovation Drive,Miamisburg,OH,USA
0017000000W4aCgAAJ,Dare Mighty Things,(603) 431-4331,www.daremightythings.com,10 Wingate CT,Concord,NH,USA
0017000000WTSeOAAX,Human Performance Institute,(407) 438-9911 x128,energyforperformance.com,9757 Lake Nona Road,Orlando,FL,USA
0017000000YrO5QAAV,Butterfield Bank,(345) 815-7676 Ext 7251,wwww.butterfieldgroup.com,12 Albert Panton Street P.O. Box 705,Grand Cayman,,Cayman Islands
0017000000aqfVpAAI,Starbucks,(206) 447-1575,www.starbucks.com,2401 Utah Ave S,Seattle,WA,USA
0017000000arA6gAAE,Wichita Area Technical College,,,,,KS,USA
0017000000doZ7HAAU,McGraw-Hill,212-512-2000,www.mcgraw-hill.com,2 Penn Plaza,New York,MA,USA
0017000000fH7F6AAK,"Avalon Consulting, LLC",(469) 424-3449,avalonconsult.com,2030 M St Nw Office Bldg Ste 700,Washington,TX,USA
0017000000fH7XQAA0,Amarel Ltd.,,,,,,Israel
0017000000fH89jAAC,Saint-Gobain,5.25553E+11,,Legaria 549,Ciudad de México,Distrito Federal,France
0017000000foOW4AAM,Joint Industry Board of the Electrical Industry,(718) 820-4136,,,,,USA
0017000000giBDkAAM,City and Guilds,44 (0) 207 294 2468,https://www.cityandguildsgroup.com/,1 Giltspur Street,London,LONDON,UK
0017000000hX81IAAS,AFNA,+1 866-564-2362,www.afna.com,,,,USA
0017000000iznL7AAI,"Brocade Communications Systems, Inc",(408) 333-4300,www.brocade.com,130 Holger Way,San Jose,CA,USA
0017000000j10U8AAI,Performance Centric,,,,,,USA
0017000000j2ge7AAA,Fidelity Investments,(617) 563-7000,www.fidelityinvestments.com,82 Devonshire Street,Boston,MA,USA
0017000000j3G7OAAU,Prudential Financial,(973) 802-6000,www.prudential.com,751 Broad Street,Newark,NJ,USA
0017000000j3NccAAE,AAOS - American Academy of Orthopaedic Surgeons,+1.847.823.7186,www.aossorg.com,9400 W. Higgins Road 5th Floor,Rosemount,IL,USA
0017000000k0VZMAA2,United Healthcare,(952) 936-1300,www.unitedhealthcare.com,UnitedHealth Group Center9900 Bren Road East,Minnetonka,MN,United States
0017000000k1pnqAAA,Tactics Consulting,,,,,,Australia
0017000000k1tuMAAQ,The TAS Group,(866) 570-3836,www.thetasgroup.com,"803 Kirkland Avenue, Suite 100",Seattle,WA,USA
0017000000k1uO6AAI,"The Sales Board, Inc.",(800) 232-3485,www.thesalesboard.com,"14505 21st Avenue North, Ste. 206",Minneapolis,MN,USA
0017000000k26z4AAA,Johns Hopkins Medicine International,(410) 735-6577,www.hopkinsmedicine.org,"2024 E. Monument Street, Suite 2-1000",Baltimore,MD,USA
0017000000k2RD7AAM,"PMI - Performance Methods, Inc.",(770) 777-6611,www.performancemethods.com,,Atlanta,GA,USA
0017000000k2RDXAA2,Baker Communications,(713) 627-7700,www.bakercommunications.com,"10101 SW Freeway Suite 630Houston, Texas77074, USA",Houston,TX,USA
0017000000k2jjKAAQ,KPMG,(416) 777-8500,www.kpmg.ca,KPMG Global Resource Centre333 Bay StreetSuite 4600,Toronto,Ontario,Canada
0017000000k2vVcAAI,Dale Carnegie Training,(212) 750-4455,www.newyork.dalecarnegie.com,"780 Third Avenue, Concourse Level",New York,NY,USA
0017000000k2zWkAAI,"Wind Walker Media, Ltd.",(360) 298-2999,www.windwalker.com,455 Argyle Avenue PO Box 75,Friday Harbor,WA,USA
0017000000k2zi9AAA,Sogeti Nederland B.V.,31 (0)88 660 66 00 + 0876,www.sogeti.nl,Postbus 76,4130EB Vianen,,The Netherlands
0017000000k30X8AAI,Lehigh Valley Health Network,(610) 402-2273,www.lvhn.org,Cedar Crest & I-78,Allentown,PA,USA
0017000000k3dhQAAQ,DISH Network,(303) 723-1000,www.dishnetwork.com,9601 S. Meridian Boulevard,Englewood,CO,USA
0017000000k3uqVAAQ,American Colleges Learning Group,(954) 290-4617,www.aclgllc.com,11811 Upham Street Suite B-2,Broomfield,CO,USA
0017000000kkWUaAAM,HIMSS,(312) 664-4467,www.himss.org,"230 East Ohio Street,Suite 500",Chicago,IL,USA
0017000000klcKPAAY,National Public Radio,202-513-2424,www.npr.com,"635 Massachusetts Avenue, NW","Washington, DC",,USA
0017000000klelcAAA,TEKsystems,(888) 519-0776,www.teksystems.com,6500 River Place Blvd # 3,Austin,MD,USA
0017000000klem2AAA,Scottrade,(800) 619-7283,www.scottrade.com,12800 Corporate Hill Dr,St. Louis,MO,USA
0017000000kloWbAAI,American Heart Association,(214) 706-1930,www.heart.org,7272 Greenville Avenue,Dallas,TX,USA
0017000000kmJLPAA2,BMC HealthNet Plan,(617) 748-6000,www.bmchp.org,"Two Copley Place, Suite 600",Boston,MA,USA
0017000000kmjfAAAQ,AutoZone,(901) 495-6500,www.autozone.com,123 S. Front Street,Memphis,TN,USA
0017000000knqIfAAI,DDI - Development Dimensions International,(412) 257-0600,www.ddiworld.com,1225 Washington Pike,Bridgeville,PA,USA
0017000000lZZyHAAW,NCRA,"(703) 299-6640 , 314",www.ncra-usa.org,1340 Braddock Place #203,Alexandria,VA,USA
0017000000lZiaeAAC,Penn State University,(814) 865-6952,www.psu.edu,222N Boucke Building,University Park,PA,USA
0017000000laiaEAAQ,CAS,(925) 454-0978,www.cas.org,1875 Smoke Bellew Road,Livermore,CA,USA
0017000000mOchgAAC,Aer Lingus,35 3868529005,www.aerlingus.com,,,,Ireland
0017000000mPNGhAAO,Vlerick Leuven Gent Management School,+ 32 9 210 97 19,http://www.vlerick.com,,,,Belgium
0017000000mPQ1GAAW,Learning Tree International,(888) 843-8733,learningtree.com,1831 Michael Faraday Drive,Reston,VA,USA
0017000000mPSB1AAO,Nokia / NSN,+358 71 4002869,www.nsn.com,"Rua Coronel Ary Pinho, 67 Casa 2",Curitiba,Parana,Finland
0017000000mQClYAAW,CCIM Institute,(312) 321-4460,www.ccim.com,430 North Michigan AvenueSuite 800,Chicago,IL,USA
0017000000n4IsKAAU,Affero,55 21 4063-9157,www.affero.com.br,Rua Bambina 25,Rio de Janeiro,RJ,Brazil
0017000000n4KIUAA2,ClearFocus,(415) 595-3157,clearfocusprep.com,338A 28th Street,San Francisco,CA,USA
0017000000n5KMAAA2,ACE Hardware,(630) 990-1682,acehardware.com,,,IL,USA
0017000000n5OtrAAE,Blessing White,(908) 904-1000,www.blessingwhite.com,23 Orchard Road,Skillman,NJ,USA
0017000000n5oR6AAI,Bechtel,(571) 392-6300,www.bechtel.com,50 Beale St,San Francisco,CA,USA
0017000000n5pBmAAI,DeVry Online Services,(630) 787-7566,www.devry.edu,1200 E Deihl Road,Naperville,IL,USA
0017000000ngq7UAAQ,Cargill,(952) 742-2600,www.cargill.com,15407 McGinty Road,Wayzata,MN,USA
0017000000ngq8cAAA,Grupo NT Inform_tica,55 6134219236,www.grupont.com.br,,,,Brazil
0017000000nhLmAAAU,Qualcomm,(858) 587-1121,www.qualcomm.com,5775 Morehouse Dr,San Diego,CA,USA
0017000000niu2iAAA,PDI,(800) 242-7494,www.pdi-inc.com,300 Interpace Pkwy # 382,Parsippany,NJ,USA
0017000000nrpciAAA,American Contractors Exam Services,(615) 212-2040,examprep.org,,,TN,USA
0017000000nrxfEAAQ,Brainpower Training,61 1 300 661 555,www.brainpowertraining.com.au,"Forest Corporate Centre, Unit 8, 19 Rodborough RoadFrenchs Forest",Sydney,NSW,Australia
0017000000nsA3hAAE,Open University of Hong Kong,852 2768 6315,www.ouhk.edu.hk,,,,Hong Kong
0017000000nsZynAAE,Marriott International Inc,(301) 380-3000,www.marriott.com,10400 Fernwood Rd,Bethesda,MD,USA
0017000000nskZ2AAI,CERTPOINT,+1.888.883.7646,www.certpoint.com,1411 W 190th St,Gardena,CA,USA
0017000000oTMQEAA4,Zycko Limited,44 01285 868500,www.zycko.com,"The Mallards, South Cerney",Cirencester,Glos,UK
0017000000oVKfGAAW,Best Buy,(888) 237-8289,www.bestbuy.com,7601 Penn Avenue South,Richfield,MN,USA
0017000000oVp0iAAC,Vellore Institute of Technology,+91 416 224 3118,www.vit.ac.in,DEEMED UNIVERSITY,Vellore,Tamilnadu,India
0017000000oVyTUAA0,DoDEA - Department of Education Activity,(703) 588-3100,www.dodea.edu,4040 North Fairfax DriveWebb Building,Arlington,VA,USA
0017000000ox37uAAA,Ubion,82-10-9942-1975,www.ubion.co.kr,,Seoul,,South Korea
0017000000oy9gJAAQ,FM Global,(401) 275-3000,www.fmglobal.com,270 Central Avenue,Johnston,RI,USA
0017000000oyk0SAAQ,Liberty Mutual,(617) 357-9500,www.libertymutual.com,175 Berkeley St,Boston,MA,USA
0017000000oywJqAAI,Farmers Insurance,(323) 932-3200,https://www.farmers.com/,4680 Wilshire Blvd,Los Angeles,CA,United States
0017000000pmPLGAA2,Oxford University Press,44 (0) 1865 556767,,3101 Thomas Rd,Oxford,MI,UK
0017000000pp1v9AAA,Jack in the Box,(858) 571-2121,www.jackinthebox.com,9330 Balboa Avenue,San Diego,CA,USA
0017000000q6wTHAAY,Intel Security / McAfee,(888) 847-8766,www.mcafee.com,2821 Mission College Boulevard,Santa Clara,CA,USA
0017000000q98qIAAQ,Creative Interactive Ideas,(713) 523-0888,www.cre8iveii.com,6164 RichmondSuite 210,Houston,TX,USA
0017000000rHRoQAAW,Beckman Coulter,952-368-1272,www.beckman.com,,,CA,USA
0017000000rIU9RAAW,Center for Creative Leadership,(336) 545-2810,www.ccl.org,1 Leadership Place,Greensboro,NC,US
0017000000rIXTqAAO,Synegen,630.362.0274,synegen.com,"One Pierce Place, 110W",Itasca,IL,USA
0017000000rzA1eAAE,NIKE,(503) 671-6453,www.nike.com,One Bowerman Drive,Beaverton,OR,USA
0017000000sX8a5AAC,Friedrich Air Conditioning,210-546-0503,www.friedrich.com,,,TX,USA
0017000000sny3ZAAQ,Ashridge Executive Education (formerly Ashridge Business School),44 1442 8434591,http://www.ashridge.org.uk/website/content.nsf,,,,UK
0017000000sr00FAAQ,Wal-Mart Canada,905-821-2111 ext. 75629,www.walmart.ca,1940 Argentia Road,Mississauga,Ontario,Canada
0017000000tSfVQAA0,mantisPRO,(310) 494-6776,http://mantispro.com,,,CA,USA
0017000000ttzkgAAA,"EDSI - Employee Development Systems, Inc.",(303) 221-0710,www.employeedevelopmentsystems.com,7308 S. AltonSuite 2J,Centennial,CO,USA
0017000000uIeDIAA0,Medallion Learning,503-341-4697,www.medallionlearning.com,933 E 23rd Ave,Longmont,CO,USA
0017000000uInGDAA0,ODCTE,(405) 743-5538,www.okcareertech.org,,,OK,USA
0017000000uKhsKAAS,Department of Homeland Security,+1 202-282-8010,www.dhs.gov,245 Murray Ln SW,D.C.,DC,USA
0017000000vJJkUAAW,Talisman Energy,403.237.1077,www.talisman-energy.com,204 Broadstone Dr,Mars,Vancouver,Canada
0017000000vXr68AAC,HighPoint Global,(866) 323-0188,http://www.highpointglobal.com,300 N. Meridian StreetSuite 190,Indianapolis,IN,USA
0017000000vZJPuAAO,LOI,31 (071) 545-1234,http://www.loi.nl/,,Leidrop,,The Netherlands
0017000000wypzEAAQ,LexisNexis,(212) 309-8100,https://www.lexisnexis.com/en-us/gateway.page,"230 Park Ave, Suite 7",New York City,NY,USA
0017000000wywGsAAI,Thomson Reuters,612.219.0730,www.thomsonreuters.com,7204 Cloverleaf Dr,Plano,MN,USA
0017000000xH7Q3AAK,Hawaiian Telcom,818-546-8616,hawaiiantel.com,1177 Bishop Street,Honolulu,HI,USA
0017000000xoqmiAAA,Cisco Stealthwatch Educational Service,4085253322,,3650 Brookside pkwy,Alpharetta,GA,US
0017000000xrWcIAAU,Marketo,(650) 376-2300,www.marketo.com,901 Mariners Island BoulevardSuite 500,San Mateo,CA,United States
0017000000z3V1sAAE,National Network of Digital Schools,(866) 990-6637,nndsonline.org,294 Massachusetts Avenue,Rochester,PA,USA
0017000000zVqApAAK,Esterel,33  492025781,www.esterel-technologies.com,Twins 1 679 Av. Julien Lefebvre,06270 Villeneuve Loubet,,France
0017000000zua8PAAQ,The CE Shop,(888) 827-0777,www.theceshop.com,1121 Westrac DriveSuite 200,Fargo,ND,USA
0017000000zwDYrAAM,La Poste Tunisienne,21   69  9614021,poste.tn,,,,Tunisia
00170000010xWn6AAE,E. Hamer Associates Ltd,(604) 708-0434,hamer-associates.ca,807  402 W Pender Street,Vancouver,BC,Canada
00170000010xkklAAA,Novo Nordisk,+45 30751817,www.nnit.com,800 Scudders Mill Road,Plainsboro,NJ,Denmark
00170000010yDSDAA2,Vestar Consulting,44 7843241490,vestarconsulting.com,,,,UK
00170000011JueqAAC,Houghton Mifflin Harcourt,(617) 351-5166,hmhco.com,222 Berkeley Street,Boston,MA,USA
00170000011xfe1AAA,Independence Blue Cross (IBC),215-241-9526,ibx.com,1901 Market Street,Philadelphia,PA,USA
00170000012zVdLAAU,Benefitfocus,(843) 284-1052,benefitfocus.com,100 Benefitfocus Way,Charleston,SC,USA
0017000001311GwAAI,Chevron,+1 703-639-1116,www.chevron.com,6001 Bollinger Canyon Rd,San Ramon,CA,USA
0017000001312IxAAI,Weatherford,(713) 836-4210,www.weatherford.com,2000 St. James Place,Houston,TX,USA
00170000013kNs0AAE,The Learning House,(502) 815-0623,www.learninghouse.com,427 South Fourth StreetSuite 300,Louisville,KY,USA
00170000014zKL4AAM,Houses of Parliament,44 02017 219 1600,parliament.uk,Houses of Parliament,London,,UK
00170000016e3fzAAA,PotashCorp,(306) 933-8633,potashcorp.com,"122 First Ave. South, Suite 500",Saskatoon,SK,Canada
00170000018KsIQAA0,Global Knowledge,(919) 463-7310,globalknowledge.com,9000 Regency Pkwy Suite 400,Cary,NC,USA
0017000001AhHRUAA3,AXELOS Global Best Practice,44  7770 785000 (Alan),axelos.com,17 Rochester Row,London,,UK
0017000001DBebxAAD,Medtronic,(763) 514-4000,medtronic.com,710 Medtronic Parkway,Minneapolis,MN,United States
0017000001DDsTJAA1,Pulse Systems,(800) 444-0882,pulseinc.com,3017 N Cypress St,Overland Park,KS,USA
0013900001OPGM7AAP,Target Corporation,763-405-4706,target.com,1000 Nicollet Mall,Minneapolis,MN,USA
0013900001Q0LkbAAF,Globecomm Systems Inc,(678) 296-3646,www.globecommsystems.com,45 Oser Avenue,Hauppauge,NY,USA
0013900001QiRdKAAV,Johnson Controls,405.419.6593,https://www.johnsoncontrols.com/,5757 N Green Bay Ave,Milwaukee,OK,US
0013900001QjNLaAAN,Oxford Cambridge and RSA (OCR),+44 1223553998,https://www.ocr.org.uk/,Progress House,Coventry,West Midlands,UK
0013900001QldeVAAR,Getinge Group AB,+46 103355106,www.getinge.com,Getinge Infection ControlBox 69Ekebergsvägen 26,Ekebergsvagen 26,Halland,Sweden
0013900001QluTOAAZ,Mekon,44 (0) 7472 745 063,www.mekon.com,Mekon House,Sutton,Surrey,UK
0013900001RS7V7AAL,Continental Data Graphics (CDG),(858) 952-4131,www.cdgnow.com,Gate House,San Diego,CA,USA
0013900001RfZ28AAF,"Lowe's Companies, Inc.",(704) 758-1000,www.lowes.com,1000 Lowe's Boulevard,Mooresville,NC,United States
0013900001RfZVWAA3,Genesys,61 2 9463 8511,www.genesys.com,8420 W Bryn Mawr Ave Ste 400,Sydney,IL,Australia
0013900001Rfm9PAAR,"Rollins, Inc",(404) 877-4618,rollins.com,2552 Northeast Expressway,Atlanta,GA,US
0013900001SGTnnAAH,SyncHR,303-523-6691,www.synchr.com,1644 Platte Street,Denver,CO,US
0013900001SHne9AAD,Buffalo Wild Wings,952-516-8035,,,,MN,USA
0013900001SIGQ6AAP,Ecolab Inc.,(651) 250-2683 /(612) 845-3906,www.ecolab.com,370 N. Wabasha St.,St. Paul,MN,USA
0013900001SIyZqAAL,Extron Electronics,(714) 687-6311,www.extron.com,1230 S Lewis St S,Anaheim,CA,USA
0013900001SJUeIAAX,Kaiser Permanente,(510) 271-5910,www.kaiserpermanente.org,"TPMG Optimization and Training 5810 Owens Drive, Building F",Pleasanton,CA,USA
0013900001T5Ir4AAF,Sandler,(410) 559-2061,,,,,
0013900001T5hbUAAR,CGS,2032164213,cgsinc.com,3 World Financial Ctr C,New York,CT,USA
0013900001T5hgKAAR,SureSkills,+353 (0)1 240 2275,,Suite 200,Austin,Ireland,Ireland
0013900001T5hh8AAB,Caveo Learning,(312) 651-4000 x3031,www.caveolearning.com,9327 S Union Rd,Huntley,IL,US
0013900001T5hjYAAR,NIL Ltd.,+27846011266,www.nil.com,Tivolska cesta 48,Ljubljana,KS,Slovenia
0013900001T5hk7AAB,InfoPro Learning,(609) 606-9978,www.infoprolearning.com,103 Morgan Ln Ste 102,Plainsboro,NJ,USA
0013900001T62anAAB,Union Gas Limited,"(519) 351-5020 , 5553404, (519) 436-4532",www.uniongas.com,50 Keil Drive NorthPO Box 2001,Chatham,Ontario,Canada
0013900001T82HmAAJ,PTC,(781) 370-5000,ptc.com,140 Kendrick Street,Needham,MA,US
0013900001T83B6AAJ,HCL Technologies,+91 9176620015,,,,,India
0013900001TSO2dAAH,Schlumberger,(713) 513-3739,slb.com,"5599 San Felipe,8th Floor",Houston,TX,USA
0013900001TSnGWAA1,Principled Technologies,(919) 619-6119,weejee.com,300 Blackwell StreetSuite 300,Durham,NC,USA
0013900001TSnIwAAL,Keynapse,,,,,,US
0013900001Txw5TAAR,O-I (Owens-Illinois),567-336-8819,www.o-i.com,One Michael Owens WayPlaza 4,Perrysburg,OH,US
0013900001UbUmuAAF,Project Lead The Way,+1.317.669.0200,www.pltw.org,3939 Priority Way South Drive Suite 400,Indianapolis,IN,USA
0013900001Uc41oAAB,"Ten Mile Square Technologies, LLC",+1.703.629.4671,http://tenmilesquare.com/,803 W. Broad StreetSuite 210,Falls Church,VA,United States
0013900001UcgSiAAJ,Cambridge Assessments,+44.122.355.3311,www.cambridgeassessment.org.uk,1 Hills Road,Cambridge,CAMBRIDGESHIRE,UK
0013900001VagV3AAJ,Verizon Communications,+1.212.395.1000,www.verizon.com,140 West St,New York,NY,United States
0013900001Vb9ZQAAZ,Metrix Group,,,,,,
0013900001Vbfq3AAB,Bridge International Academies,(401) 864-5809,www.bridgeinternationalacademies.com,,,MA,US
0013900001VbvSbAAJ,eLearning Brothers,,,,,,
0013900001Ve411AAB,The Mosaic Company,(425) 254-1724,www.themosaiccompany.com,555 S. Renton Village Place#280,Renton,WA,US
0013900001WCn2uAAD,The Church of Jesus Christ of Latter-Day Saints,8012408378,ldschurch.org,50 E North Temple Fl 20,Salt Lake City,UT,United States
0013900001WDVOoAAP,NAVEX Global,+1.971.250.4100,www.navexglobal.com,773 Chestnut Street,San Francisco,CA,US
0013900001WDaEWAA1,Box.com,(503) 575-5807,box.com,,,California,United States
0013900001WDeUgAAL,Nokia,(630) 979-9572,nokia.com,Karaportti 3,ESPOO,IL,US
0013900001WDf0SAAT,National Grid,(781) 812-9018,www.nationalgrid.com,National Grid House,Burlington,MA,US
0013900001WDuXbAAL,"MCLE, Inc. - Massachusetts Continuing Legal Education",6178961177,www.mcle.org,10 Winter Pl,Boston,MA,United States
0013900001WDyoRAAT,Cox Communications,404 269-4004,cox.com,6205-B Peachtree Dunwoody Road NE,Atlanta,Georgia,United States
0013900001WE0iiAAD,Nexi Consulting Ltd,+386 1 600 60 60,http://nexi.si/,Cvetkova 27SI-1000 Ljubljana,,,Slovenia
0013900001WFgCIAA1,J&J Vision (formally Abbott),(714) 247-8967,http://www.abbottmedicaloptics.com/,1700 East St. Andrew Place,Santa Ana,CA,US
0013900001WFgghAAD,KnowledgePoint Ltd,44 1189 181524,www.knowledgepoint.co.uk,C1 Eskdale RoadWinnersh TriangleWinnersh,Wokingham,Berkshire,UK
0013900001WX9COAA1,Microbenefits,,,,,,
0013900001WXCMtAAP,AVEVA,44 01223 556655,www.aveva.com,High CrossMadingley Road,Cambridge,CAMBRIDGESHIRE,UK
0013900001WYL2XAAX,Dominion East Ohio,+1.330.742.8100,www.dominiongaschoice.com,1165 West Rayen Avenue,Youngstown,Ohio,US
0013900001WYPP0AAP,Robomatter,(412) 312-3100,www.robomatter.com,210 Sixth Avenue Suite 3570,Pittsburgh,PA,US
0013900001WZvebAAD,Sprinklr,+1.917.933.7800,www.sprinklr.com,29 W 35th St FL 7,New York,NC,US
0013900001WZw4PAAT,"Gaining Power Institute, LLC",,,,,,
0013900001WaMwPAAV,Colorado State University - Global Campus,(502) 271-8226,www.csuglobal.edu,7800 E Orchard Rd Ste 200,Greenwood Village,CO,USA
0013900001WaizNAAR,Discover Financial Services,224-405-7091,www.discover.com,2500 Lake Cook Road,Riverwoods,IL,US
0013900001WajPAAAZ,"Sprint Communications, Inc.",+1.855.848.3280,www.sprint.com,6200 Sprint Pkwy,Overland Park,KS,United States
0013900001WajlGAAR,Restaurant Brands International,+1.212.893.6727,www.3g-capital.com,600 3rd Ave FL 37,New York,New York,United States
0013900001Y19WuAAJ,The American Society of Radiologic Technologists,+1.505.298.4500,www.asrt.org,15000 Central Ave SE,Albuquerque,New Mexico,United States
0013900001Y19fXAAR,American Urological Association,+1.410.689.3700,www.auanet.org,1000 Corporate Blvd,Linthicum,Maryland,United States
0013900001Y1A98AAF,ADP,+1.973.974.5000,www.adp.com,1 ADP Blvd Ste 1,Roseland,New Jersey,United States
0013900001Y1IVcAAN,Comcast Corporation,+1.215.286.1700,www.comcast.com,1701 JFK Blvd,Philadelphia,Pennsylvania,United States
0013900001Y1IXxAAN,"Chick-Fil-A, Inc.",+1.404.765.8038,www.chick-fil-a.com,5200 Buffington Rd,Atlanta,Georgia,United States
0013900001Y1Q6uAAF,The Sherwin-Williams Company,+1.216.566.2000,www.sherwin-williams.com,101 W Prospect Ave # 1020,Cleveland,Ohio,United States
0013900001Y1W9iAAF,Jacobs,+1.626.578.3500,www.jacobs.com,155 N Lake Ave,Pasadena,California,United States
0013900001Y1mkLAAR,Investors Title Insurance Company,919-945-2597,www.invtitle.com,121 North Columbia Street,Chapel Hill,NC,US
0013900001Y2AL0AAN,Colgate-Palmolive Company,(212) 310-2000,https://www.colgatepalmolive.com/en-us,300 Park Ave,New York,NY,US
0013900001YvxggAAB,EC Innovations,,,,,,
0013900001YwzbZAAR,Tetra Pak - Texas,,,,,,
0013900001Yx2QgAAJ,Extreme Networks,(603) 952-5281,www.extremenetworks.com,145 Rio Robles,San Jose,NH,US
0013900001YxQ9cAAF,Moody's Analytics Global Education Inc,416-681-2236,www.maknowledgeservices.com,200 Wellington Street West15th Floor,Toronto,Ontario,Canada
0013900001YyaDVAAZ,Twenty-Eighty (Maintenance Account),,,,,,
0013900001YyaHIAAZ,Management Concepts (Hosting Account),,,,,,
0013900001YyaILAAZ,Dunkin' Brands (Maintenance Account),,,,,,
0013900001YzHttAAF,Worldpay,(678) 587-1353,www.worldpay.com,600 Morgan Falls Rd Ste 260,Atlanta,GA,US
0013900001Z1frGAAR,Asurion,(816) 237-3706,www.asurion.com,405 Gleason Pkwy,Kansas City,MO,US
0013900001Zn1UAAAZ,Canadian Tire Corporation,416-544-7689,www.canadiantire.ca,2180 Yonge Street,Toronto,Ontario,Canada
